科目,模块,章,节,知识点,考纲要求,常见考法,备注
408,计算机组成原理,数据的表示和运算,浮点数,IEEE754 单精度/双精度格式（符号/阶码偏移127或1023/尾数隐藏位）,掌握,十进制数↔IEEE754十六进制表示,极高频计算
408,计算机组成原理,数据的表示和运算,浮点数,规格化数、非规格化数、±0、±∞、NaN 的表示,掌握,最大/最小正规格化数,高频
408,计算机组成原理,数据的表示和运算,浮点数,浮点加减五步：对阶（小阶向大阶）、尾数运算、规格化、舍入、溢出判断,掌握,给两个浮点数模拟加法过程,高频大题
408,计算机组成原理,数据的表示和运算,浮点数,C语言 float/double 与 int 相互转换的精度问题,掌握,float 精度23+1位导致大int转换失真,高频
408,计算机组成原理,数据的表示和运算,运算部件,ALU 的功能与基本结构；一位全加器,掌握,,
408,计算机组成原理,数据的表示和运算,运算部件,串行进位与并行进位（先行进位）加法器,理解,进位公式 Ci 展开,
408,计算机组成原理,存储系统,概述,存储器分类（介质/存取方式/易失性）；RAM、ROM、SAM、DAM,掌握,,
408,计算机组成原理,存储系统,概述,存储器层次结构（Cache-主存-辅存）；两对层次的目的（速度/容量）,掌握,Cache-主存由硬件完成、主存-辅存有OS参与,高频选择
408,计算机组成原理,存储系统,主存,SRAM 与 DRAM 的比较（速度/集成度/成本/刷新）,掌握,,高频选择
408,计算机组成原理,存储系统,主存,DRAM 刷新方式（集中/分散/异步）与地址复用,掌握,行列地址引脚数计算,
408,计算机组成原理,存储系统,主存,ROM 类型（MROM/PROM/EPROM/EEPROM/Flash）；Flash与SSD,了解,,
408,计算机组成原理,存储系统,主存,主存与CPU连接：位扩展、字扩展、字位扩展；片选译码,掌握,给地址范围求芯片数与片选逻辑,极高频大题
408,计算机组成原理,存储系统,主存,多模块存储器：单体多字、多体交叉编址（高位/低位）,掌握,低位交叉流水存取的带宽/时间计算,高频计算
408,计算机组成原理,存储系统,Cache,程序访问的局部性原理（时间/空间）,掌握,分析代码的局部性,
408,计算机组成原理,存储系统,Cache,Cache 工作流程；命中率、平均访问时间计算,掌握,H·tc+(1-H)·(tc+tm) 型计算,极高频
408,计算机组成原理,存储系统,Cache,直接映射：地址划分（标记/行号/块内地址）与判断命中,掌握,给主存地址判断映射到哪一行,极高频计算
408,计算机组成原理,存储系统,Cache,全相联与组相联映射；地址结构对比,掌握,组相联 标记/组号/块内 划分与访问序列命中分析,极高频大题
408,计算机组成原理,存储系统,Cache,Cache 总容量计算（含标记位、有效位、脏位、LRU位）,掌握,,高频计算
408,计算机组成原理,存储系统,Cache,替换算法：随机、FIFO、LRU（计数器实现）、LFU,掌握,访问序列下LRU的命中情况,高频
408,计算机组成原理,存储系统,Cache,写策略：写直达+写分配/非写分配、写回+脏位,掌握,写操作的总线流量比较,高频
408,计算机组成原理,存储系统,虚拟存储,虚拟存储器概念；页式虚拟存储（页表、缺页）,掌握,虚地址→实地址转换全过程,与OS联动
408,计算机组成原理,存储系统,虚拟存储,TLB（快表）：结构与访存流程（TLB-Cache-主存三级联合）,掌握,TLB命中/缺失、Cache命中/缺失、缺页的组合分析,极高频大题
408,计算机组成原理,存储系统,虚拟存储,段式与段页式虚拟存储,了解,,
408,计算机组成原理,指令系统,指令格式,指令的基本格式：操作码+地址码；零一二三地址指令,掌握,不同地址数指令的操作数来源,
408,计算机组成原理,指令系统,指令格式,定长操作码与扩展操作码设计,掌握,给定各类指令数量设计/验证扩展操作码,极高频计算
408,计算机组成原理,指令系统,指令格式,指令字长与机器字长、存储字长的关系；定长/变长指令,掌握,,
408,计算机组成原理,指令系统,寻址方式,指令寻址：顺序（PC自增）与跳跃,掌握,PC自增量与指令长度/编址单位的关系,高频
408,计算机组成原理,指令系统,寻址方式,数据寻址：立即、直接、间接、寄存器、寄存器间接、隐含寻址,掌握,各方式访存次数比较,极高频
408,计算机组成原理,指令系统,寻址方式,偏移寻址：基址（面向系统/多道程序）、变址（面向用户/数组）、相对（转移指令）,掌握,由寻址方式计算有效地址EA与目标地址,极高频计算
408,计算机组成原理,指令系统,寻址方式,堆栈寻址（硬堆栈/软堆栈）,了解,,
408,计算机组成原理,指令系统,汇编层,大端/小端存储；边界对齐,掌握,给出内存内容按大小端读数,极高频
408,计算机组成原理,指令系统,汇编层,x86常用指令（mov/add/sub/cmp/jmp/jxx/call/ret/push/pop）与寄存器,了解会读,阅读汇编片段说明功能,2022新增
408,计算机组成原理,指令系统,汇编层,选择（分支）、循环语句的机器级表示,掌握,C代码与汇编对应关系,高频
408,计算机组成原理,指令系统,汇编层,过程调用的机器级表示：栈帧、参数传递、返回地址,掌握,call/ret 与栈帧变化,高频
408,计算机组成原理,指令系统,CISC与RISC,CISC 与 RISC 的特点比较,了解,,选择题
408,计算机组成原理,中央处理器,CPU结构,CPU 功能；运算器与控制器的组成,掌握,,
408,计算机组成原理,中央处理器,CPU结构,用户可见/不可见寄存器分类（PC、IR、MAR、MDR、PSW、通用寄存器）,掌握,判断哪些寄存器对汇编程序员透明,极高频选择
408,计算机组成原理,中央处理器,指令周期,指令周期、机器周期（CPU周期）、时钟周期的关系,掌握,,
408,计算机组成原理,中央处理器,指令周期,取指、间址、执行、中断四个周期及其数据流,掌握,各周期中 PC/MAR/MDR/IR 的变化序列,高频
408,计算机组成原理,中央处理器,数据通路,单总线数据通路：微操作序列与控制信号,掌握,写出一条指令的微操作及控制信号序列,极高频大题
408,计算机组成原理,中央处理器,数据通路,专用通路结构,理解,,
408,计算机组成原理,中央处理器,控制器,硬布线控制器原理：微操作命令的形成,理解,硬布线与微程序的比较,
408,计算机组成原理,中央处理器,控制器,微程序控制器：微命令/微指令/微程序、控制存储器,掌握,微指令条数与机器指令的关系,高频
408,计算机组成原理,中央处理器,控制器,微指令编码方式：直接（水平）编码、字段直接/间接编码,掌握,字段编码的控制位长度计算,高频计算
408,计算机组成原理,中央处理器,控制器,微指令地址形成方式,了解,,
408,计算机组成原理,中央处理器,异常与中断,异常（内中断：故障/自陷/终止）与中断（外中断）的分类,掌握,判断哪些事件属于异常/中断,2022新增高频
408,计算机组成原理,中央处理器,异常与中断,异常和中断的检测与响应过程（响应优先级、断点保存）,掌握,,
408,计算机组成原理,中央处理器,流水线,指令流水线基本概念；五段流水（IF/ID/EX/MEM/WB）,掌握,,
408,计算机组成原理,中央处理器,流水线,流水线性能：吞吐率、加速比、效率；时空图,掌握,n条指令在k段流水线的总时间计算,极高频计算
408,计算机组成原理,中央处理器,流水线,结构冒险及解决（资源重复/存储器分离）,掌握,,
408,计算机组成原理,中央处理器,流水线,数据冒险及解决：插入气泡、转发（旁路）、编译调度；load-use冒险,掌握,判断相邻指令的数据相关并计算停顿数,极高频
408,计算机组成原理,中央处理器,流水线,控制冒险及解决：分支预测（静态/动态）、延迟转移,掌握,,
408,计算机组成原理,中央处理器,高级话题,超标量、超流水、多发射基本概念,了解,,
408,计算机组成原理,中央处理器,高级话题,多处理器概念：SISD/SIMD/MIMD、向量处理器；共享内存多处理器,了解,,2022新增
408,计算机组成原理,中央处理器,高级话题,硬件多线程（细粒度/粗粒度/同时多线程SMT）,了解,,2022新增
408,计算机组成原理,总线,总线概述,总线的定义、特点；串行与并行总线,掌握,,
408,计算机组成原理,总线,总线概述,总线分类：片内、系统（数据/地址/控制）、通信总线,掌握,三类系统总线的方向性与功能,高频选择
408,计算机组成原理,总线,总线概述,系统总线结构（单总线/双总线/三总线）,理解,,
408,计算机组成原理,总线,性能指标,总线周期、时钟、工作频率、位宽、带宽计算,掌握,带宽=频率×宽度/传输周期数,极高频计算
408,计算机组成原理,总线,事务与定时,总线事务；突发（burst）传送,掌握,突发传输总时间计算,高频
408,计算机组成原理,总线,事务与定时,同步定时与异步定时（不互锁/半互锁/全互锁）,了解,,
408,计算机组成原理,输入输出系统,I/O接口,I/O接口的功能与基本结构（数据/状态/控制寄存器）,掌握,,
408,计算机组成原理,输入输出系统,I/O接口,I/O端口编址：统一编址（存储器映射）与独立编址,掌握,两种编址的地址空间与指令区别,高频选择
408,计算机组成原理,输入输出系统,程序查询,程序查询方式流程与CPU利用率计算,掌握,查询开销占比计算,
408,计算机组成原理,输入输出系统,程序中断,中断的基本概念；中断请求、屏蔽、判优（硬件排队器/软件轮询）,掌握,中断优先级与屏蔽字设置,极高频
408,计算机组成原理,输入输出系统,程序中断,中断响应条件与过程；中断隐指令（保存断点、关中断、引出服务程序）,掌握,中断隐指令完成的工作,极高频选择
408,计算机组成原理,输入输出系统,程序中断,中断服务程序流程；单重中断与多重中断（中断嵌套）,掌握,画多重中断的执行轨迹,高频
408,计算机组成原理,输入输出系统,程序中断,中断方式的CPU开销计算,掌握,每秒中断处理时间占比,高频计算
408,计算机组成原理,输入输出系统,DMA,DMA控制器的组成与功能；DMA请求/响应,掌握,,
408,计算机组成原理,输入输出系统,DMA,DMA传送方式：周期挪用（窃取）、停止CPU、交替访问,掌握,周期挪用对CPU的影响计算,极高频
408,计算机组成原理,输入输出系统,DMA,DMA传送过程（预处理/数据传送/后处理）；与中断方式的比较,掌握,DMA结束中断的作用；开销对比计算,极高频计算
408,操作系统,操作系统概述,基本概念,OS的概念、功能（资源管理/用户接口）,掌握,,
408,操作系统,操作系统概述,基本概念,OS的四个特征：并发、共享、虚拟、异步及相互关系,掌握,并发与并行的区别,高频选择
408,操作系统,操作系统概述,发展历程,批处理（单道/多道）、分时、实时系统的特点,了解,多道程序设计的好处与代价,
408,操作系统,操作系统概述,运行环境,内核态与用户态；特权指令与非特权指令,掌握,判断哪些指令必须在内核态执行,极高频选择
408,操作系统,操作系统概述,运行环境,中断和异常的分类与处理流程；中断向量,掌握,用户态→内核态的唯一途径是中断/异常,极高频
408,操作系统,操作系统概述,运行环境,系统调用的概念、执行过程（trap指令）；与库函数的区别,掌握,系统调用各步骤在用户态/内核态的划分,极高频
408,操作系统,操作系统概述,结构与引导,OS结构：分层、模块化、宏内核、微内核、外核,了解,微内核的性能问题与可靠性优势,选择题
408,操作系统,操作系统概述,结构与引导,操作系统引导过程（BIOS→MBR→引导程序→OS）,了解,引导各阶段顺序排列,2022新增高频
408,操作系统,操作系统概述,结构与引导,虚拟机：第一类/第二类虚拟机管理程序,了解,两类VMM的区别,2022新增
408,操作系统,进程与线程,进程基础,进程的概念、组成（PCB/程序段/数据段）与特征,掌握,PCB包含的内容,
408,操作系统,进程与线程,进程基础,进程状态：创建、就绪、运行、阻塞、终止及转换条件,掌握,状态转换的合法性判断,极高频
408,操作系统,进程与线程,进程基础,进程控制原语（创建/撤销/阻塞/唤醒/切换）,掌握,阻塞与唤醒必须成对出现,
408,操作系统,进程与线程,进程基础,进程的组织：链接方式与索引方式,了解,,
408,操作系统,进程与线程,进程基础,进程间通信：共享存储、消息传递（直接/间接）、管道,掌握,管道的半双工与读写规则,高频
408,操作系统,进程与线程,线程,线程的概念；线程与进程的比较；线程的属性,掌握,线程切换与进程切换的开销,极高频
408,操作系统,进程与线程,线程,线程实现：用户级线程（ULT）与内核级线程（KLT）；多线程模型（多对一/一对一/多对多）,掌握,ULT阻塞会导致整个进程阻塞,高频
408,操作系统,进程与线程,调度,调度的层次（作业/内存/进程调度）；调度时机与不能调度的情形,掌握,,
408,操作系统,进程与线程,调度,调度方式（抢占/非抢占）；调度的评价指标（周转时间、带权周转、等待时间、响应时间、吞吐量）,掌握,平均周转时间计算,极高频
408,操作系统,进程与线程,调度,FCFS、SJF/SRTN（最短剩余时间）的特点与计算,掌握,画甘特图计算各指标,极高频大题
408,操作系统,进程与线程,调度,优先级调度（静态/动态、抢占/非抢占）；高响应比优先 HRRN,掌握,响应比=（等待+服务）/服务,高频
408,操作系统,进程与线程,调度,时间片轮转 RR；多级队列与多级反馈队列,掌握,时间片大小的影响；MLFQ调度过程模拟,高频
408,操作系统,进程与线程,同步互斥,临界资源与临界区；同步与互斥的概念,掌握,,
408,操作系统,进程与线程,同步互斥,互斥实现的四个准则（空闲让进、忙则等待、有限等待、让权等待）,掌握,判断算法违反哪条准则,高频
408,操作系统,进程与线程,同步互斥,软件方法：单标志、双标志先检查/后检查、Peterson算法,掌握,各算法的缺陷分析,高频选择
408,操作系统,进程与线程,同步互斥,硬件方法：关中断、TestAndSet、Swap指令,掌握,硬件方法不满足让权等待,
408,操作系统,进程与线程,同步互斥,互斥锁与自旋锁的概念,了解,,
408,操作系统,进程与线程,同步互斥,信号量机制：整型/记录型信号量；P、V原语,掌握,信号量值的物理意义（资源数/等待队列长）,极高频
408,操作系统,进程与线程,同步互斥,用信号量实现互斥、同步、前驱关系,掌握,按前驱图写PV代码,极高频大题
408,操作系统,进程与线程,同步互斥,生产者-消费者问题（单/多缓冲区）及变形,掌握,PV操作顺序（先同步后互斥）,极高频大题
408,操作系统,进程与线程,同步互斥,读者-写者问题（读优先/写优先/公平）,掌握,计数器+互斥锁结构,高频大题
408,操作系统,进程与线程,同步互斥,哲学家进餐、吸烟者问题,掌握,死锁避免方案（限制人数/奇偶取筷）,高频
408,操作系统,进程与线程,同步互斥,管程的概念与基本结构（条件变量、wait/signal）,理解,管程与信号量的关系,选择题
408,操作系统,进程与线程,死锁,死锁的定义；死锁/饥饿/死循环的区别,掌握,,
408,操作系统,进程与线程,死锁,死锁产生的四个必要条件与发生死锁的时机,掌握,资源数与进程数关系判断是否可能死锁,极高频
408,操作系统,进程与线程,死锁,死锁预防（破坏四个必要条件）,掌握,各策略的代价,
408,操作系统,进程与线程,死锁,死锁避免：安全序列、安全状态；银行家算法,掌握,判断安全状态/请求能否满足,极高频大题
408,操作系统,进程与线程,死锁,死锁检测（资源分配图化简）与解除,掌握,资源分配图可完全化简⇔无死锁,高频
408,操作系统,内存管理,基础,程序装入与链接：编译、链接（静态/装入时/运行时）、装入（绝对/可重定位/动态）,理解,逻辑地址与物理地址；重定位寄存器,
408,操作系统,内存管理,基础,内存保护方法（界限寄存器/上下限）,掌握,,
408,操作系统,内存管理,基础,覆盖与交换技术,了解,,
408,操作系统,内存管理,连续分配,单一连续、固定分区、动态分区分配；内部/外部碎片,掌握,各方式产生哪种碎片,极高频
408,操作系统,内存管理,连续分配,动态分区算法：首次适应、邻近适应、最佳适应、最坏适应,掌握,给定请求序列模拟分配,高频
408,操作系统,内存管理,分页,基本分页：页面、页框、页表、地址结构（页号+偏移）,掌握,逻辑地址→物理地址计算,极高频计算
408,操作系统,内存管理,分页,页表项与页表大小计算；快表 TLB 及有效访问时间 EAT,掌握,含TLB的平均访存时间计算,极高频计算
