科目,模块,章,节,知识点,考纲要求,常见考法,备注
数学一,高等数学,一元函数微分学,导数概念,导数的几何意义与物理意义；切线和法线方程,会求,曲线切线/法线方程（含参数方程、隐函数曲线）,
数学一,高等数学,一元函数微分学,导数概念,微分的定义与几何意义；可微与可导的关系,理解,由 Δy=AΔx+o(Δx) 判断可微,
数学一,高等数学,一元函数微分学,求导法则,四则求导法则与基本初等函数导数公式,掌握,,基础
数学一,高等数学,一元函数微分学,求导法则,复合函数求导（链式法则）,掌握,多层复合、抽象函数 f(g(x)) 求导,
数学一,高等数学,一元函数微分学,求导法则,隐函数求导、对数求导法、幂指函数求导,掌握,由方程 F(x，y)=0 求 dy/dx 及二阶导,高频
数学一,高等数学,一元函数微分学,求导法则,参数方程确定的函数的一阶、二阶导数,掌握,dy/dx=(dy/dt)/(dx/dt) 及二阶导公式,高频
数学一,高等数学,一元函数微分学,求导法则,反函数的导数,会求,dy/dx 与 dx/dy 互为倒数及二阶关系,
数学一,高等数学,一元函数微分学,高阶导数,高阶导数定义与常用函数的 n 阶导数公式（e^x、sin、cos、ln(1+x)、1/(ax+b)）,会求,求 f^(n)(0)（结合泰勒展开系数）,高频
数学一,高等数学,一元函数微分学,高阶导数,莱布尼茨公式,会用,乘积函数的高阶导数,
数学一,高等数学,一元函数微分学,中值定理,费马引理与罗尔定理,理解会用,构造辅助函数证明 f'(ξ)=0 型等式,证明题核心
数学一,高等数学,一元函数微分学,中值定理,拉格朗日中值定理,理解会用,证明不等式；证明含 f'(ξ) 的等式,证明题核心
数学一,高等数学,一元函数微分学,中值定理,柯西中值定理,理解会用,含两个函数比值的中值等式证明,
数学一,高等数学,一元函数微分学,中值定理,泰勒定理（拉格朗日余项、佩亚诺余项）；常用麦克劳林公式,理解会用,泰勒公式求极限/证明不等式/估计余项,高频
数学一,高等数学,一元函数微分学,中值定理,构造辅助函数技巧（乘 e^x、乘 x 等）,掌握,双中值问题、ξ与η混合问题,难点
数学一,高等数学,一元函数微分学,导数应用,洛必达法则及其适用条件,掌握,"注意""结果不存在≠原极限不存在""",高频
数学一,高等数学,一元函数微分学,导数应用,函数单调性判别及单调区间,掌握,利用单调性证明不等式/讨论方程根个数,高频
数学一,高等数学,一元函数微分学,导数应用,极值的必要条件与两个充分条件（一阶变号/二阶符号）,掌握,含参函数极值点讨论；极值点与导数为零的关系,高频选择
数学一,高等数学,一元函数微分学,导数应用,最值的求法及应用题,掌握,闭区间最值；实际问题最优化,
数学一,高等数学,一元函数微分学,导数应用,凹凸性判别与拐点,会判断,二阶导变号；拐点的必要/充分条件,高频选择
数学一,高等数学,一元函数微分学,导数应用,渐近线（水平、铅直、斜）,会求,斜渐近线 k=lim f(x)/x、b=lim(f(x)-kx),高频
数学一,高等数学,一元函数微分学,导数应用,函数作图（综合单调、极值、凹凸、渐近线）,会,,
数学一,高等数学,一元函数微分学,导数应用,方程根的个数讨论（单调性+零点定理）,掌握,含参数方程根的个数随参数变化,高频大题
数学一,高等数学,一元函数微分学,曲率,弧微分、曲率、曲率半径、曲率圆,了解,K=|y''|/(1+y'²)^(3/2) 计算,数一专属
数学一,高等数学,一元函数积分学,不定积分,原函数与不定积分概念；原函数存在定理,理解,连续函数必有原函数；含跳跃间断点无原函数,选择题
数学一,高等数学,一元函数积分学,不定积分,基本积分公式表,掌握,,基础
数学一,高等数学,一元函数积分学,不定积分,第一类换元（凑微分）,掌握,常见凑微分模式,
数学一,高等数学,一元函数积分学,不定积分,第二类换元（三角代换、根式代换、倒代换）,掌握,√(a²-x²)、√(x²±a²) 型三角代换,
数学一,高等数学,一元函数积分学,不定积分,分部积分法,掌握,反对幂指三顺序；循环积分；含 ln/arctan 的积分,高频
数学一,高等数学,一元函数积分学,不定积分,有理函数积分（部分分式分解）,会求,真分式分解为最简分式,
数学一,高等数学,一元函数积分学,不定积分,三角函数有理式与简单无理函数的积分,会求,万能代换；sin²cos² 降幂,
数学一,高等数学,一元函数积分学,定积分,定积分定义（黎曼和）与性质（线性、可加性、保号性、估值、中值定理）,理解,用定积分定义求 n 项和极限,高频
数学一,高等数学,一元函数积分学,定积分,积分上限函数及其求导,掌握,变限积分求导（上下限均为函数）；讨论变限积分的连续性可导性,极高频
数学一,高等数学,一元函数积分学,定积分,牛顿-莱布尼茨公式,掌握,,基础
数学一,高等数学,一元函数积分学,定积分,定积分的换元法与分部积分法,掌握,利用对称性/周期性简化；华里士(Wallis)公式,高频
数学一,高等数学,一元函数积分学,定积分,定积分等式与不等式的证明,掌握,换元构造对称、柯西不等式、积分中值定理,大题
数学一,高等数学,一元函数积分学,反常积分,无穷区间反常积分的概念与计算,理解会算,收敛性判别（p积分对照）,
数学一,高等数学,一元函数积分学,反常积分,无界函数（瑕积分）的概念与计算,理解会算,瑕点识别与收敛性判别,选择题
数学一,高等数学,一元函数积分学,定积分应用,平面图形面积（直角坐标、极坐标）,掌握,极坐标扇形面积公式,高频
数学一,高等数学,一元函数积分学,定积分应用,旋转体体积（绕x轴、y轴、任意直线）,掌握,圆盘法与柱壳法,高频
数学一,高等数学,一元函数积分学,定积分应用,曲线弧长（直角坐标、参数方程、极坐标）与旋转曲面面积,掌握,,
数学一,高等数学,一元函数积分学,定积分应用,物理应用：变力做功、液体压力、引力、质心、平均值,会用,,
数学一,高等数学,向量代数与空间解析几何,向量代数,向量线性运算、坐标表示、模、方向余弦,理解掌握,,数一专属
数学一,高等数学,向量代数与空间解析几何,向量代数,数量积、向量积、混合积的定义、坐标计算与几何意义,掌握,用混合积求四面体体积/判共面,
数学一,高等数学,向量代数与空间解析几何,向量代数,向量垂直、平行的充要条件；两向量夹角,掌握,,
数学一,高等数学,向量代数与空间解析几何,平面与直线,平面方程（点法式、一般式、截距式、三点式）,掌握,求过已知条件的平面方程,
数学一,高等数学,向量代数与空间解析几何,平面与直线,直线方程（点向式、一般式、参数式）及互化,掌握,两平面交线的方向向量,
数学一,高等数学,向量代数与空间解析几何,平面与直线,面面、线面、线线的夹角与位置关系,会求,平行/垂直/相交/异面判定,
数学一,高等数学,向量代数与空间解析几何,平面与直线,点到平面/直线的距离；两异面直线距离,会求,,
数学一,高等数学,向量代数与空间解析几何,曲面与曲线,曲面方程的概念；常见二次曲面（椭球面、单叶/双叶双曲面、椭圆/双曲抛物面、锥面）,了解,由方程识别曲面类型,选择题
数学一,高等数学,向量代数与空间解析几何,曲面与曲线,旋转曲面方程（绕坐标轴）与柱面方程,会求,平面曲线绕轴旋转的方程,
数学一,高等数学,向量代数与空间解析几何,曲面与曲线,空间曲线的参数方程与一般方程；在坐标面上的投影曲线,会求,消元求投影柱面,
数学一,高等数学,多元函数微分学,基本概念,二元函数的极限与连续；二重极限不存在的证明,了解,沿不同路径极限不同,选择题
数学一,高等数学,多元函数微分学,基本概念,偏导数定义与计算；高阶偏导数与混合偏导相等条件,理解掌握,用定义求分段函数在原点的偏导,高频
数学一,高等数学,多元函数微分学,基本概念,全微分定义；可微的必要条件与充分条件,理解,连续、偏导存在、可微、偏导连续四者关系,极高频选择
数学一,高等数学,多元函数微分学,偏导计算,多元复合函数一阶、二阶偏导（链式法则、树形图）,掌握,抽象复合函数 z=f(u，v) 的二阶混合偏导,极高频大题
数学一,高等数学,多元函数微分学,偏导计算,隐函数求导（一个方程、方程组两种情形）,掌握,由 F(x，y，z)=0 或方程组求偏导,高频
数学一,高等数学,多元函数微分学,偏导计算,全微分形式不变性,了解,,
数学一,高等数学,多元函数微分学,几何应用,空间曲线的切线与法平面,会求,参数式/一般式曲线,数一专属
数学一,高等数学,多元函数微分学,几何应用,曲面的切平面与法线,会求,法向量为梯度方向,数一专属
数学一,高等数学,多元函数微分学,方向导数与梯度,方向导数的定义与计算公式,掌握,可微时方向导数=梯度·单位方向,数一专属高频
数学一,高等数学,多元函数微分学,方向导数与梯度,梯度的概念、计算及几何意义,掌握,梯度方向是方向导数最大方向,
数学一,高等数学,多元函数微分学,极值,无条件极值：必要条件与充分判别（AC-B²）,理解掌握,驻点讨论；判别式失效时用定义,高频
数学一,高等数学,多元函数微分学,极值,条件极值与拉格朗日乘数法,掌握,一个或两个约束；结合几何/物理背景,高频大题
数学一,高等数学,多元函数微分学,极值,有界闭区域上的最值,会求,内部驻点+边界条件极值比较,大题
数学一,高等数学,多元函数积分学,二重积分,二重积分概念、性质与几何意义,理解,利用对称性（奇偶、轮换）简化,极高频
数学一,高等数学,多元函数积分学,二重积分,直角坐标计算与交换积分次序,掌握,由累次积分还原积分区域再交换次序,极高频
数学一,高等数学,多元函数积分学,二重积分,极坐标计算,掌握,含 x²+y² 的被积函数,高频
数学一,高等数学,多元函数积分学,三重积分,三重积分的计算（先一后二/先二后一、柱面坐标、球面坐标）,掌握,含 x²+y²+z² 用球坐标,高频
数学一,高等数学,多元函数积分学,曲线积分,第一类曲线积分（对弧长）概念与计算,理解掌握,ds 的三种表达；利用对称性,数一专属
数学一,高等数学,多元函数积分学,曲线积分,第二类曲线积分（对坐标）概念与计算；两类曲线积分的联系,理解掌握,参数化直接计算,
数学一,高等数学,多元函数积分学,曲线积分,格林公式及其应用条件（闭曲线、内部无奇点）,掌握,补线用格林公式；奇点挖洞处理,极高频大题
数学一,高等数学,多元函数积分学,曲线积分,平面曲线积分与路径无关的四个等价条件,掌握,∂P/∂y=∂Q/∂x；求全微分的原函数,高频
数学一,高等数学,多元函数积分学,曲面积分,第一类曲面积分（对面积）概念与计算,理解掌握,dS 投影公式；利用对称性,数一专属
数学一,高等数学,多元函数积分学,曲面积分,第二类曲面积分（对坐标）概念与计算；两类曲面积分的联系,理解掌握,分片投影法；转换投影法,
数学一,高等数学,多元函数积分学,曲面积分,高斯公式及其应用条件；奇点处理,掌握,补面用高斯公式,极高频大题
数学一,高等数学,多元函数积分学,曲面积分,斯托克斯公式,了解会用,空间闭曲线的第二类曲线积分,
数学一,高等数学,多元函数积分学,场论初步,散度与旋度的概念及计算,了解,div/rot 的直接计算,数一专属
数学一,高等数学,多元函数积分学,应用,重积分/线面积分的应用（质量、质心、转动惯量、引力、功、流量）,会用,,
数学一,高等数学,无穷级数,常数项级数,级数收敛与和的概念；基本性质；收敛必要条件 an→0,理解掌握,通项不趋于0则发散,
数学一,高等数学,无穷级数,常数项级数,几何级数与 p 级数的敛散性,掌握,作为比较判别的标尺,基础
数学一,高等数学,无穷级数,常数项级数,正项级数：比较判别法（含极限形式）,掌握,与 p 级数比较定敛散,高频
数学一,高等数学,无穷级数,常数项级数,正项级数：比值（达朗贝尔）与根值（柯西）判别法,掌握,含 n!、a^n 的级数,高频
数学一,高等数学,无穷级数,常数项级数,交错级数莱布尼茨判别法,掌握,,
数学一,高等数学,无穷级数,常数项级数,绝对收敛与条件收敛的概念及判别,理解,典型例：(-1)^n/n^p 的分类讨论,极高频选择
数学一,高等数学,无穷级数,幂级数,收敛半径、收敛区间、收敛域的求法（含缺项幂级数）,掌握,阿贝尔定理的应用：由某点收敛性推整体,极高频
数学一,高等数学,无穷级数,幂级数,幂级数的和函数性质（连续、逐项求导、逐项积分）,了解,收敛半径不变端点可能变,
数学一,高等数学,无穷级数,幂级数,求幂级数的和函数,会求,先导后积/先积后导化归几何级数,高频大题
数学一,高等数学,无穷级数,幂级数,函数展开为幂级数（直接法与间接法）,掌握,利用 e^x/sin/cos/ln(1+x)/(1+x)^a/几何级数展开,高频大题
数学一,高等数学,无穷级数,幂级数,数项级数求和（借助幂级数或已知展开式）,会求,∑n/2^n 型,
数学一,高等数学,无穷级数,傅里叶级数,傅里叶系数公式与狄利克雷收敛定理,了解,收敛定理判断和函数在间断点的值,数一专属高频选择
数学一,高等数学,无穷级数,傅里叶级数,[-l，l] 上的傅里叶级数；奇偶延拓的正弦/余弦级数,会展开,,数一专属
数学一,高等数学,常微分方程,一阶方程,可分离变量方程与齐次方程（y/x 代换）,掌握,,基础
数学一,高等数学,常微分方程,一阶方程,一阶线性方程通解公式,掌握,y'+P(x)y=Q(x)；可换 x、y 地位,高频
数学一,高等数学,常微分方程,一阶方程,伯努利方程；全微分方程（恰当方程）,会解,z=y^(1-n) 代换；积分因子,数一了解
数学一,高等数学,常微分方程,可降阶方程,y''=f(x，y') 与 y''=f(y，y') 型,会解,设 p=y' 降阶,
数学一,高等数学,常微分方程,高阶线性方程,线性方程解的结构（叠加原理、通解=齐次通解+特解）,理解,由几个特解构造通解,高频选择
数学一,高等数学,常微分方程,高阶线性方程,二阶常系数齐次方程（特征方程三种情形）,掌握,,基础
数学一,高等数学,常微分方程,高阶线性方程,二阶常系数非齐次方程特解形式（多项式×e^λx、e^λx(Acos+Bsin)）,掌握,特解待定形式（含共振情形乘 x）,高频
数学一,高等数学,常微分方程,高阶线性方程,欧拉方程 x²y''+pxy'+qy=f(x),会解,令 x=e^t 化为常系数,数一专属
数学一,高等数学,常微分方程,应用,微分方程的几何与物理应用；由变限积分方程转化,会用,由切线/面积/体积关系列方程,大题
数学一,线性代数,行列式,概念与性质,行列式的定义（逆序数/递归展开）与七大性质,了解掌握,行列变换对行列式值的影响,
数学一,线性代数,行列式,概念与性质,按行（列）展开定理；余子式与代数余子式,掌握,求某行代数余子式的线性组合（换行法）,高频
数学一,线性代数,行列式,计算,特殊行列式（上下三角、范德蒙、爪形、三对角、分块）,掌握,n 阶行列式的递推与归纳,
数学一,线性代数,行列式,计算,抽象行列式的计算（用性质、特征值、|AB|=|A||B|）,掌握,|A+B|、|A*|、|kA| 类问题,高频选择
数学一,线性代数,矩阵,概念与运算,矩阵加法、数乘、乘法及运算律（无交换律/消去律）,掌握,(A+B)²展开注意顺序；AB=O 的含义,
数学一,线性代数,矩阵,概念与运算,转置、方阵的幂、方阵乘积的行列式,理解,求 A^n（秩1矩阵、相似对角化、二项式展开）,高频
数学一,线性代数,矩阵,概念与运算,特殊矩阵：对角、数量、三角、对称、反对称、正交矩阵,了解,正交矩阵性质 A^T A=E、|A|=±1,
数学一,线性代数,矩阵,逆矩阵,可逆的定义、性质与充要条件（|A|≠0、满秩、特征值全非零等）,理解,抽象矩阵证可逆并求逆（凑因式法）,高频
数学一,线性代数,矩阵,逆矩阵,伴随矩阵 A* 的定义与核心公式 AA*=|A|E,理解,r(A*) 与 r(A) 的关系；(A*)⁻¹、(A*)*,极高频
数学一,线性代数,矩阵,初等变换,初等矩阵与初等变换的关系（左行右列）,掌握,初等矩阵的逆/幂/乘积对应的变换,高频选择
数学一,线性代数,矩阵,初等变换,用初等行变换求逆矩阵、求秩,掌握,(A|E)→(E|A⁻¹),
数学一,线性代数,矩阵,秩,矩阵秩的定义与重要不等式（r(A+B)≤r(A)+r(B)、r(AB)≤min、Sylvester不等式）,理解,含参矩阵秩的讨论；ABO 时 r(A)+r(B)≤n,高频
数学一,线性代数,矩阵,分块矩阵,分块矩阵的运算与分块对角阵的逆、行列式、秩,了解,分块副对角阵求逆,
数学一,线性代数,向量,线性关系,线性组合与线性表示；向量组等价,理解,β能否由向量组表示（含参数讨论）,高频
数学一,线性代数,向量,线性关系,线性相关/无关的定义、性质与判别定理（7条常用结论）,理解掌握,部分相关⇒整体相关；无关组加长仍无关等,极高频选择
数学一,线性代数,向量,线性关系,极大线性无关组与向量组的秩的求法,会求,化行阶梯形定秩并表示其余向量,高频
数学一,线性代数,向量,线性关系,矩阵的秩与行/列向量组秩的关系（三秩相等）,了解,,
数学一,线性代数,向量,向量空间,向量空间、子空间、基、维数、坐标,了解,过渡矩阵与坐标变换公式,数一专属
数学一,线性代数,向量,内积与正交,内积、长度、夹角；柯西-施瓦茨不等式,了解,,
数学一,线性代数,向量,内积与正交,施密特正交化过程,掌握,两两正交化三个向量,高频
数学一,线性代数,向量,内积与正交,规范正交基与正交矩阵的性质,了解,,
数学一,线性代数,线性方程组,解的判定,齐次方程组有非零解的充要条件（r(A)<n）,理解,系数矩阵含参数的讨论,
数学一,线性代数,线性方程组,解的判定,非齐次方程组有解的充要条件（r(A)=r(A，b)）,理解,无解/唯一解/无穷解的参数讨论,极高频大题
数学一,线性代数,线性方程组,解的结构,齐次方程组基础解系的求法与解空间维数 n-r(A),理解掌握,抽象基础解系判定（个数+无关+是解）,高频
数学一,线性代数,线性方程组,解的结构,非齐次通解结构：特解+齐次通解,理解掌握,已知几个特解求通解,高频
数学一,线性代数,线性方程组,解的结构,两个方程组的公共解与同解问题,会求,联立求公共解；同解⇔互相可表,难点
数学一,线性代数,线性方程组,解的结构,克拉默法则,会用,,
数学一,线性代数,特征值与特征向量,基本概念,特征值/特征向量定义 Ax=λx；特征多项式 |λE-A|=0,理解会求,具体矩阵求特征值和特征向量,基础
数学一,线性代数,特征值与特征向量,基本概念,特征值的性质（∑λ=tr(A)、∏λ=|A|）；f(A) 的特征值,理解,A²=A、A²=E 型矩阵特征值取值范围,极高频
数学一,线性代数,特征值与特征向量,基本概念,不同特征值的特征向量线性无关；k重特征值至多k个无关特征向量,理解,特征向量线性组合是否仍是特征向量,高频选择
数学一,线性代数,特征值与特征向量,相似,相似的定义、性质与必要条件（同特征多项式、同秩、同迹、同行列式）,理解,判断两矩阵是否相似,高频
数学一,线性代数,特征值与特征向量,相似,可对角化的充要条件（n个无关特征向量；每个k重根有k个无关向量）,掌握,含参矩阵可对角化的条件讨论,极高频大题
数学一,线性代数,特征值与特征向量,相似,相似对角化的步骤及应用（求A^n、反求A）,掌握,由特征值特征向量反求 A,高频大题
数学一,线性代数,特征值与特征向量,实对称矩阵,实对称矩阵性质：特征值全实、不同特征值的特征向量正交、必可正交对角化,掌握,由部分特征向量利用正交性求其余,极高频
数学一,线性代数,二次型,基本概念,二次型的矩阵表示（对称矩阵）与二次型的秩,掌握,写出二次型对应矩阵,基础
数学一,线性代数,二次型,标准形,正交变换法化标准形,掌握,标准形系数即特征值,极高频大题
数学一,线性代数,二次型,标准形,配方法化标准形；惯性定理与规范形,掌握了解,正负惯性指数的确定,
数学一,线性代数,二次型,合同,合同的定义与判别（正负惯性指数相同）,了解,相似/合同/等价三种关系的区分,高频选择
数学一,线性代数,二次型,正定,正定二次型/正定矩阵的定义与判别（顺序主子式全正、特征值全正等）,理解掌握,含参数正定性讨论；A正定⇒A⁻¹、A*正定,高频
数学一,概率论与数理统计,随机事件和概率,事件与运算,样本空间、随机事件；事件的关系与运算（德摩根律）,理解掌握,事件表达式化简,
数学一,概率论与数理统计,随机事件和概率,概率定义,概率的公理化定义与基本性质,理解掌握,,
数学一,概率论与数理统计,随机事件和概率,概率计算,古典概型（排列组合）与几何概型,会计算,摸球/分房/配对问题；面积比,
数学一,概率论与数理统计,随机事件和概率,概率计算,加法、减法公式；条件概率与乘法公式,掌握,P(A∪B)、P(A-B) 与独立性混合运算,高频
数学一,概率论与数理统计,随机事件和概率,概率计算,全概率公式与贝叶斯公式,掌握,两阶段试验；已知结果反推原因概率,高频大题
数学一,概率论与数理统计,随机事件和概率,独立性,事件独立的定义与性质；两两独立与相互独立的区别,理解掌握,独立与互斥的关系辨析,高频选择
数学一,概率论与数理统计,随机事件和概率,独立性,独立重复试验（伯努利概型）,掌握,n次试验恰好/至少发生k次,
数学一,概率论与数理统计,随机变量及其分布,分布函数,分布函数 F(x) 的定义与三条性质（单调不减、右连续、极限0和1）,理解,判断给定函数能否作为分布函数,高频选择
数学一,概率论与数理统计,随机变量及其分布,离散型,分布律的性质；由事件求分布律,理解会求,,
数学一,概率论与数理统计,随机变量及其分布,离散型,常用离散分布：0-1、二项 B(n，p)、几何、超几何、泊松 P(λ),掌握,各分布的背景与概率计算,
数学一,概率论与数理统计,随机变量及其分布,离散型,泊松定理（二项的泊松近似）,了解,,
数学一,概率论与数理统计,随机变量及其分布,连续型,概率密度的性质；密度与分布函数的关系,理解会求,由密度求分布函数（分段积分）,高频
数学一,概率论与数理统计,随机变量及其分布,连续型,均匀分布 U(a，b)、指数分布 E(λ)（无记忆性）、正态分布 N(μ，σ²),掌握,正态标准化查表；指数无记忆性,高频
数学一,概率论与数理统计,随机变量及其分布,函数分布,一维随机变量函数 Y=g(X) 的分布,会求,分布函数法；单调时的公式法,高频大题
数学一,概率论与数理统计,多维随机变量及其分布,联合分布,二维随机变量联合分布函数/联合分布律/联合密度的概念与性质,理解,由联合求概率 P((X，Y)∈D),
数学一,概率论与数理统计,多维随机变量及其分布,边缘与条件,边缘分布律/边缘密度的求法,理解会求,联合⇒边缘（积分消元）,高频
数学一,概率论与数理统计,多维随机变量及其分布,边缘与条件,条件分布律/条件密度,理解会求,f(x|y)=f(x，y)/fY(y),
数学一,概率论与数理统计,多维随机变量及其分布,独立性,随机变量相互独立的充要条件（联合=边缘乘积）,理解掌握,离散表格/连续密度判独立,高频
数学一,概率论与数理统计,多维随机变量及其分布,常用分布,二维均匀分布与二维正态分布（参数意义、边缘仍正态、ρ=0⇔独立）,掌握了解,二维正态的五个参数,高频选择
数学一,概率论与数理统计,多维随机变量及其分布,函数分布,Z=X+Y 的分布（卷积公式）；离散+连续混合型,会求,一离散一连续用全概率分解,极高频大题
数学一,概率论与数理统计,多维随机变量及其分布,函数分布,max(X，Y) 与 min(X，Y) 的分布,会求,独立时 F_max=F1F2、F_min=1-(1-F1)(1-F2),高频
数学一,概率论与数理统计,数字特征,期望与方差,期望的定义、性质及随机变量函数的期望,理解掌握,E(aX+bY)、独立时 E(XY)=EXEY,
数学一,概率论与数理统计,数字特征,期望与方差,方差的定义、性质与计算公式 DX=EX²-(EX)²,理解掌握,D(aX+bY) 展开（含协方差项）,高频
数学一,概率论与数理统计,数字特征,期望与方差,八大常用分布的期望与方差表,掌握,,必背
数学一,概率论与数理统计,数字特征,协方差与相关,协方差、相关系数的定义、性质与计算,理解会算,ρ=0（不相关）与独立的关系,极高频
数学一,概率论与数理统计,数字特征,矩,原点矩与中心矩,了解,,
数学一,概率论与数理统计,大数定律和中心极限定理,大数定律,切比雪夫不等式,会用,概率的上下界估计,选择题
数学一,概率论与数理统计,大数定律和中心极限定理,大数定律,切比雪夫、伯努利、辛钦大数定律及适用条件,了解,依概率收敛的含义,选择题
数学一,概率论与数理统计,大数定律和中心极限定理,中心极限定理,列维-林德伯格（独立同分布）中心极限定理,了解会用,n个独立同分布变量和的正态近似计算,高频
数学一,概率论与数理统计,大数定律和中心极限定理,中心极限定理,棣莫弗-拉普拉斯定理（二项的正态近似）,了解会用,,
数学一,概率论与数理统计,数理统计的基本概念,基本概念,总体、样本、统计量；样本均值、样本方差、样本矩,理解,样本方差分母 n-1,
数学一,概率论与数理统计,数理统计的基本概念,抽样分布,χ² 分布：定义、可加性、期望方差,了解,E(χ²)=n、D(χ²)=2n,高频
数学一,概率论与数理统计,数理统计的基本概念,抽样分布,t 分布与 F 分布：典型构造与性质,了解,由标准正态与χ²构造 t、F；1/F~F(m，n),高频选择
数学一,概率论与数理统计,数理统计的基本概念,抽样分布,正态总体抽样分布定理（X̄与S²独立、(n-1)S²/σ²~χ²(n-1)等四条）,掌握,构造统计量并识别其分布,极高频
数学一,概率论与数理统计,数理统计的基本概念,抽样分布,分位数的概念（上侧分位数）,会查表,,
数学一,概率论与数理统计,参数估计,点估计,矩估计法（一阶矩/二阶矩）,掌握,由样本矩=总体矩解参数,高频大题
数学一,概率论与数理统计,参数估计,点估计,最大似然估计法（离散/连续；含不可导情形）,掌握,写似然函数取对数求驻点；均匀分布端点型,极高频大题
数学一,概率论与数理统计,参数估计,评价标准,无偏性、有效性、一致性,了解,验证估计量无偏；比较方差,高频选择
数学一,概率论与数理统计,参数估计,区间估计,置信区间的概念；单个正态总体均值/方差的置信区间,理解会求,σ已知用z、未知用t,数一专属
数学一,概率论与数理统计,参数估计,区间估计,两个正态总体均值差/方差比的置信区间,会求,,数一专属
数学一,概率论与数理统计,假设检验,基本思想,显著性检验的思想与步骤；两类错误,理解了解,第一类弃真/第二类取伪的辨析,数一专属选择
数学一,概率论与数理统计,假设检验,正态总体检验,单个及两个正态总体的均值/方差检验（z检验、t检验、χ²检验、F检验）,掌握,构造检验统计量与拒绝域,数一专属
数学一,高等数学,函数极限连续,极限概念,数列极限与函数极限的关系（海涅定理）,了解,由函数极限推数列极限；构造数列证极限不存在,选择题
数学一,高等数学,一元函数微分学,导数应用,方程近似解：二分法与切线法（牛顿法）的思想,了解,,考纲要求了解
数学一,高等数学,一元函数微分学,导数应用,相关变化率问题,会求,由几何/物理关系对 t 求导,应用题
数学一,高等数学,一元函数积分学,反常积分,反常积分敛散性的比较判别（p 积分标尺）,理解,判断含参数反常积分收敛的 p 范围,高频选择
数学一,高等数学,无穷级数,幂级数,函数项级数的收敛点/收敛域/和函数概念,了解,,
数学一,高等数学,常微分方程,高阶线性方程,高于二阶的常系数齐次线性方程（简单情形）,会解,特征方程有重根/复根的通解结构,
