科目,模块,章,节,知识点,考纲要求,常见考法,备注
政治,马克思主义基本原理,政治经济学,,工资、利润、平均利润；资本主义基本矛盾与经济危机,理解,,
政治,马克思主义基本原理,政治经济学,,垄断资本主义（私人垄断、国家垄断）；经济全球化,了解,,
政治,马克思主义基本原理,科学社会主义,,资本主义的历史地位与发展趋势；社会主义五百年,了解,,
政治,马克思主义基本原理,科学社会主义,,科学社会主义一般原则；共产主义崇高理想及其最终实现,了解,,
政治,毛泽东思想和中国特色社会主义理论体系概论,毛泽东思想,,毛泽东思想的形成发展、主要内容（新民主主义革命理论、社会主义改造理论等）和历史地位,掌握,,毛中特约30分
政治,毛泽东思想和中国特色社会主义理论体系概论,毛泽东思想,,新民主主义革命的总路线、基本纲领；三大法宝（统一战线、武装斗争、党的建设）,掌握,,
政治,毛泽东思想和中国特色社会主义理论体系概论,毛泽东思想,,社会主义改造道路和历史经验；社会主义建设道路初步探索的理论成果,理解,,
政治,毛泽东思想和中国特色社会主义理论体系概论,中国特色社会主义理论体系,,邓小平理论（社会主义本质、初级阶段、改革开放、社会主义市场经济）,理解,,
政治,毛泽东思想和中国特色社会主义理论体系概论,中国特色社会主义理论体系,,三个代表重要思想与科学发展观,了解,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,"新时代的主要矛盾变化；""两个一百年""奋斗目标与中国式现代化",掌握,,分析题高频区
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,"十个明确""十四个坚持""十三个方面成就",掌握,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,五位一体总体布局（经济、政治、文化、社会、生态文明建设）,掌握,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,四个全面战略布局,掌握,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,新发展理念、新发展阶段、新发展格局；高质量发展,掌握,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,全面深化改革与全过程人民民主、全面依法治国,理解,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,"国防和军队现代化；""一国两制""与祖国统一",了解,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,中国特色大国外交与人类命运共同体,掌握,,
政治,毛泽东思想和中国特色社会主义理论体系概论,习近平新时代中国特色社会主义思想,,全面从严治党与党的自我革命,理解,,
政治,中国近现代史纲要,旧民主主义革命时期,,反对外国侵略的斗争；近代中国的主要矛盾和历史任务,理解,,史纲约14分
政治,中国近现代史纲要,旧民主主义革命时期,,太平天国、洋务运动、戊戌维新的历程与教训,理解,,
政治,中国近现代史纲要,旧民主主义革命时期,,辛亥革命与君主专制制度的终结；辛亥革命的成功与失败,掌握,,
政治,中国近现代史纲要,新民主主义革命时期,,五四运动与中国共产党的诞生；中共成立的历史意义,掌握,,周年纪念是命题热点
政治,中国近现代史纲要,新民主主义革命时期,,大革命、土地革命战争；农村包围城市道路的开辟；遵义会议与长征,掌握,,
政治,中国近现代史纲要,新民主主义革命时期,,抗日战争：正面战场与敌后战场、抗日民族统一战线、抗战胜利的意义,掌握,,
政治,中国近现代史纲要,新民主主义革命时期,,解放战争与新中国的诞生；中国革命胜利的原因和基本经验,掌握,,
政治,中国近现代史纲要,社会主义革命和建设时期,,新中国成立初期的政权巩固；社会主义基本制度的确立（三大改造）,掌握,,
政治,中国近现代史纲要,社会主义革命和建设时期,,社会主义建设的探索成就与曲折,理解,,
政治,中国近现代史纲要,改革开放和新时代,,十一届三中全会与改革开放的起步；改革开放的历史进程与成就,掌握,,
政治,中国近现代史纲要,改革开放和新时代,,中国特色社会主义进入新时代；党的十九大、二十大精神,掌握,,
政治,思想道德与法治,人生观,,人生观的主要内容（人生目的、人生态度、人生价值）；创造有意义的人生,理解,,思修法基约16分
政治,思想道德与法治,理想信念,,理想信念的内涵及重要性；马克思主义信仰与中国特色社会主义共同理想,理解,,
政治,思想道德与法治,中国精神,,以爱国主义为核心的民族精神和以改革创新为核心的时代精神,掌握,,
政治,思想道德与法治,价值观,,社会主义核心价值观的基本内容、重大意义及践行要求,掌握,,
政治,思想道德与法治,道德观,,马克思主义道德观；中华传统美德与中国革命道德；社会公德、职业道德、家庭美德、个人品德,理解,,
政治,思想道德与法治,法治观,,社会主义法律的本质特征与运行；宪法的地位和基本原则,理解,,
政治,思想道德与法治,法治观,,全面依法治国与中国特色社会主义法治道路、法治体系,掌握,,
政治,思想道德与法治,法治观,,法治思维及其基本内容；公民的法律权利与法律义务,理解,,
政治,形势与政策以及当代世界经济与政治,形势与政策,,年度间（上一年1月至当年12月）党和政府的重大方针政策、国内外重大时事,掌握,,约6分选择题；考前突击时政
政治,形势与政策以及当代世界经济与政治,当代世界经济与政治,,经济全球化与世界多极化；大国关系与地区热点问题,了解,,
政治,形势与政策以及当代世界经济与政治,当代世界经济与政治,,"中国对外工作新理念（共建""一带一路""、全球发展倡议、全球安全倡议、人类命运共同体）",掌握,,分析题第38题常考
政治,考试形式,试卷结构,,单选16题16分+多选17题34分+分析题5题50分=100分,了解,,马原/毛中特/史纲/思修/形策分值约24/30/14/16/16
